,place_name,place_id,lat,lng,type
53,"Kory, papelería",ChIJcYxVHlYoQg0RktDhzLXYd_c,40.44737620000001,-3.703024700000001,book_store
54,María Luisa de la Fuente Martínez,ChIJtUoDGaIpQg0RewDbWSeRD-Y,40.4728185,-3.7083978,book_store
55,Germanischer Lloyd España,ChIJi1WhlQIpQg0RB9S-61Cp7IY,40.4549894,-3.6941146,convenience_store
56,La Antigua Bacaladera,ChIJachZmQApQg0RRWPP_B5lY_c,40.4570581,-3.7024641,convenience_store
57,Algas Gourmet - Tienda Algas comestibles,ChIJ75DORQUpQg0R5X-J_8AIJ1I,40.463157,-3.693523000000001,convenience_store
58,Marajaspain,ChIJmzx0lEODQQ0RtTzWtzizGvY,40.46607,-3.691499,convenience_store
59,Casa Ruiz Granel Selecto Madrid-Chamartín,ChIJHSsMLhopQg0R62gFjnGjdxY,40.4620299,-3.6882542,convenience_store
60,Unide Supermercado,ChIJa4EwWaUpQg0RLIE7icmS-yk,40.46364899999999,-3.712211,convenience_store
61,Supercor Exprés,ChIJ7b0z9RkpQg0Ry8ye8mBEReQ,40.4631446,-3.687516499999999,convenience_store
62,Qfresh.co,ChIJVaUr2fgoQg0R3nkCC7gMGsw,40.447639,-3.7005339,convenience_store
63,"Monva, S.L.",ChIJYycG7PsoQg0RQtGBfo9dYYU,40.4476844,-3.6967234,convenience_store
64,Supercor,ChIJLXPSuAApQg0RTTnY-GJVVug,40.45777349999999,-3.7018441,convenience_store
65,Alimentación Frutos Secos,ChIJi6bINgQpQg0RWmm8tj0ENaw,40.4609953,-3.696836399999999,convenience_store
66,Cosmo Cash & Carry,ChIJTYRTwwApQg0RETuOete6YFE,40.4577076,-3.7011078,convenience_store
67,Galp,ChIJ0YJKlAApQg0RmKgzPAymW-Q,40.45727,-3.701901,convenience_store
68,Mercado Ñanduti 100% Latino S.L,ChIJyUL3HekpQg0RxoXGVIYWQh4,40.46515640000001,-3.6982728,convenience_store
69,Alimentación Y Frutos Secos,ChIJ6fodQqopQg0RbTRPEUNW-_0,40.4570394,-3.7042261,convenience_store
70,Oceans Eleven SL,ChIJW8yp4A8pQg0Rxztl7qccZno,40.4653407,-3.6930411,convenience_store
71,Hiper Euro,ChIJg8CjaqspQg0RSQIZ2wyVjJ0,40.45461940000001,-3.7066662,convenience_store
72,Mini Market,ChIJB-p7wf8oQg0RI10xgyDkPJA,40.4526292,-3.701258,convenience_store
73,Alimentacion,ChIJZYauH-YpQg0R2SQ_CljfFqw,40.4617065,-3.7106353,convenience_store
74,ALIMENTACION Y BAZAR,ChIJHT0auk8pQg0Rx1131-IfJEw,40.4676812,-3.693364599999999,convenience_store
75,Adfb Asociación de Distribuidores de Ferretería y Bricolage,ChIJzx-flR4pQg0RiySIzE8Jdcw,40.4585154,-3.6866645,hardware_store
76,Ferretería Tetuán,ChIJf_nhuAYpQg0Rkanf3XHCS7U,40.4596135,-3.6990075,hardware_store
77,Ferretería Leonesa Castellana,ChIJZRLTjBwpQg0RDTD1114BjY8,40.4576998,-3.690660499999999,hardware_store
78,Hardware Lauro Chichón,ChIJj5N0FBIpQg0RoFUXTkOG-xQ,40.4702366,-3.691786199999999,hardware_store
79,Ferreteria-AEP Plaza Castilla,ChIJl728pxYpQg0RGS4hKNnAjeU,40.4692733,-3.687087,hardware_store
80,Manuel Fidalgo Gómez,ChIJv5rtRg4pQg0ROrJXzrZBinM,40.4674011,-3.6943306,hardware_store
81,Ferreteria Chamartin,ChIJ6zr2iwApQg0R9WMEAf1CeG4,40.46451419999999,-3.694661599999999,hardware_store
82,Ferreteria Electricidad Gregorio García,ChIJxdIzqAUpQg0R3dQr2Vg19GU,40.46214189999999,-3.695167,hardware_store
83,Ferretería Alvaro,ChIJ52RhlwYpQg0Ri-2n0s0kOps,40.4602045,-3.698595799999999,hardware_store
84,Ferrokey Peláez Lope de Haro 38,ChIJa5WHUKopQg0RFbraHGeaQY8,40.456712,-3.7047919,hardware_store
85,Cerrajeria Madrid Yague,ChIJB7_EtQgpQg0RuncLbvlW-kI,40.46506299999999,-3.698104,hardware_store
86,Ferretería Cuzco,ChIJX59eUR0pQg0RSI5sXk6TZMY,40.4571718,-3.6926738,hardware_store
87,Ferretería Electricidad HEFELEC,ChIJe-oduB0pQg0RbYnBAwC179Y,40.455904,-3.688933,hardware_store
88,Cuchillería José López,ChIJE-EjqwEpQg0RSkANvMRKY3U,40.4558065,-3.700601,hardware_store
