,place_name,place_id,lat,lng,type,monday,tuesday,wednesday,thursday,friday,saturday,sunday
10,Saborilandia,ChIJcSgPlQEpQg0RRBoIFc7blHw,40.45503250000001,-3.6988594,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 59, 70, 62, 62, 77, 85, 70, 0, 0, 29, 55, 77, 62, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 44, 62, 81, 88, 88, 77, 55, 0, 0, 33, 66, 96, 77, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 48, 44, 74, 92, 100, 88, 62, 0, 0, 40, 62, 70, 55, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 66, 70, 59, 59, 74, 81, 70, 0, 0, 37, 59, 74, 62, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 77, 66, 51, 55, 66, 66, 55, 0, 0, 33, 51, 62, 55, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 66, 81, 66, 51, 59, 70, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,Panadería Cafetería Audrey,ChIJS58RdgApQg0RZ44JgHX6Wig,40.455227,-3.7028454,bakery,,,,,,,
12,Mercado La Lonja,ChIJrY7or6spQg0RZ_gMe1Q4ZrQ,40.4567088,-3.7061872,bakery,,,,,,,
13,Ludavi Pastelería Antoranz,ChIJxQz1l6opQg0RzJScOyY6UNE,40.45490969999999,-3.7035396,bakery,,,,,,,
14,Casa Breogán,ChIJY1vrmaspQg0RaJh38UdEbnI,40.4565151,-3.7068861,bakery,,,,,,,
15,Santa Gloria,ChIJXVgUwAIpQg0RQ7NI_h7BNF0,40.4552424,-3.693803900000001,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 18, 41, 44, 29, 17, 13, 8, 1, 1, 4, 25, 43, 35, 12, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 35, 35, 27, 14, 5, 1, 1, 12, 25, 32, 28, 16, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 17, 37, 51, 51, 36, 16, 2, 1, 1, 5, 20, 33, 36, 27, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 12, 31, 35, 33, 31, 22, 9, 1, 1, 12, 29, 44, 41, 24, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 27, 41, 41, 39, 39, 31, 13, 1, 1, 6, 29, 55, 62, 44, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 29, 68, 100, 98, 70, 44, 31, 24, 20, 20, 35, 63, 77, 55, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 18, 48, 79, 89, 70, 37, 14, 9, 16, 25, 27, 17, 5, 1, 0, 0]"
16,Bakery Cafe Audrey,ChIJeQliza0pQg0R2fIx1CgAG_M,40.4577678,-3.7106244,bakery,"[0, 0, 0, 0, 0, 0, 0, 19, 37, 53, 60, 51, 33, 19, 14, 17, 23, 23, 17, 10, 3, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 35, 60, 73, 66, 44, 25, 16, 16, 21, 25, 23, 17, 10, 5, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 35, 83, 100, 62, 25, 16, 17, 23, 26, 28, 26, 21, 16, 10, 7, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 16, 44, 76, 89, 67, 35, 16, 14, 17, 23, 26, 23, 17, 10, 5, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 48, 69, 46, 82, 85, 55, 25, 12, 12, 14, 14, 12, 10, 8, 5, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 26, 64, 87, 75, 58, 58, 55, 37, 19, 7, 8, 21, 26, 16, 3, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 23, 51, 69, 57, 41, 37, 33, 25, 19, 23, 28, 26, 19, 10, 3, 0, 0]"
17,Condis,ChIJzTGZd_4oQg0RGrK2twYAl9Y,40.45190480000001,-3.6979633,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 41, 60, 60, 44, 25, 18, 20, 22, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 46, 50, 46, 36, 24, 12, 12, 22, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 62, 84, 79, 60, 39, 22, 22, 25, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 50, 56, 55, 48, 37, 24, 13, 5, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 51, 58, 46, 36, 24, 15, 12, 12, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 81, 100, 93, 65, 36, 18, 13, 13, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,Cervecería Avenida,ChIJS2xbvP0oQg0RlVQ-_ArxYpM,40.4521857,-3.6960902,bakery,,,,,,,
19,LA MIGUIÑA,ChIJO2fnpv8oQg0Rm7bIavwkMLI,40.4513255,-3.701481900000001,bakery,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 58, 41, 41, 34, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 39, 49, 54, 39, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 49, 48, 50, 34, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 72, 77, 56, 28, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 72, 72, 82, 51, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,Librería Alcaná,ChIJe6x0CwgpQg0RytMwOhwTZzk,40.463103,-3.70261,book_store,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 74, 68, 48, 0, 0, 0, 77, 100, 95, 66, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 84, 68, 40, 0, 0, 0, 65, 74, 62, 39, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 69, 66, 50, 0, 0, 0, 56, 74, 62, 37, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 69, 60, 40, 0, 0, 0, 63, 86, 89, 68, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 60, 89, 75, 37, 0, 0, 0, 59, 77, 68, 40, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 77, 78, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
